§Compagnie§link§Note globale§Espace pour les jambes§Confort des sièges§Divertissement à bord (Wi-Fi, film, télévision)§Expérience à bord§Service client§Rapport qualité/prix§Propreté§Enregistrement et embarquement§Restauration et boissons§Prix§Avis
49§LEVEL§https://www.tripadvisor.fr/Airline_Review-d12665310-Reviews-LEVEL#REVIEWS§3,0§30§30§30§35§30§35§35§30§25§§2 121 avis
50§China Southern Airlines§https://www.tripadvisor.fr/Airline_Review-d8729051-Reviews-China-Southern-Airlines#REVIEWS§3,5§35§35§30§35§35§40§40§35§35§§4 741 avis
51§Aeromexico§https://www.tripadvisor.fr/Airline_Review-d8728989-Reviews-Aeromexico#REVIEWS§3,5§35§35§35§35§35§35§40§35§35§§9 710 avis
52§Air Arabia§https://www.tripadvisor.fr/Airline_Review-d8728994-Reviews-Air-Arabia#REVIEWS§3,0§35§35§20§25§30§35§35§35§25§§1 780 avis
53§WestJet§https://www.tripadvisor.fr/Airline_Review-d8729186-Reviews-WestJet#REVIEWS§4,0§35§35§30§35§40§40§40§40§35§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§14 502 avis
54§Avianca§https://www.tripadvisor.fr/Airline_Review-d8729028-Reviews-Avianca#REVIEWS§4,0§40§40§40§35§40§40§40§40§35§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§18 057 avis
55§AirAsia - Thai AirAsia§https://www.tripadvisor.fr/Airline_Review-d8728898-Reviews-AirAsia-Thai-AirAsia#REVIEWS§3,5§30§30§20§30§35§40§40§35§30§§5 597 avis
56§Edelweiss Air§https://www.tripadvisor.fr/Airline_Review-d8728969-Reviews-Edelweiss-Air#REVIEWS§4,0§35§35§35§40§45§40§45§40§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§2 996 avis
57§French bee§https://www.tripadvisor.fr/Airline_Review-d11831116-Reviews-French-Bee#REVIEWS§3,0§30§30§35§30§30§35§40§35§30§§1 193 avis
58§Air Austral§https://www.tripadvisor.fr/Airline_Review-d8728995-Reviews-Air-Austral#REVIEWS§3,5§35§35§35§35§40§35§40§40§35§"[""Lauréat Travellers' Choice 2018""]"§1 353 avis
